item_id,cluster,pattern,mean_demand,std,lead_time,safety_stock,reorder_point,policy_description,pattern_policy_type,recommended_service_level,holding_cost_weight,shortage_cost_weight,safety_stock_opt,reorder_point_opt,order_up_to_level_opt,optimal_order_qty,estimated_total_cost
HOUSEHOLD_2_290,0,burst,0.4054794520547945,0.6793440620621036,7.0,4.151937273017585,6.990293437401146,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.3791,6.2174,10.4554,76.9415,45.9259
FOODS_2_318,4,burst,0.4273972602739726,2.870523762081361,7.0,17.54373853609798,20.535519358015787,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,14.278,17.2698,26.1757,78.9937,70.998
FOODS_1_084,0,burst,0.44931506849315067,0.9612153604372157,7.0,5.87464600821295,9.019851487665004,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.7811,7.9263,13.0519,80.9938,51.0453
HOUSEHOLD_2_087,0,burst,0.4876712328767123,0.800402578219005,7.0,4.891808854322568,8.305507484459554,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.9812,7.3949,12.4577,84.3801,50.9737
FOODS_3_315,4,burst,0.5068493150684932,1.7830342676906776,7.0,10.897344730770271,14.445289936249724,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,8.8688,12.4168,19.6383,86.0233,62.5787
HOUSEHOLD_2_138,0,burst,0.5178082191780822,0.8139144435140764,7.0,4.974389125910298,8.599046660156873,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.0484,7.6731,12.9746,86.9483,52.406
HOUSEHOLD_2_412,0,burst,0.5315068493150685,0.8067157526569195,7.0,4.930392991174041,8.65094093637952,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.0126,7.7332,13.1158,88.0909,52.8983
HOUSEHOLD_2_097,0,burst,0.536986301369863,0.7239063083151182,7.0,4.424287708562225,8.183191818151267,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.6007,7.3596,12.61,88.5438,52.216
HOUSEHOLD_2_204,0,burst,0.5397260273972603,0.8397310738451643,7.0,5.132172251900971,8.910254443681794,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.1768,7.9549,13.4631,88.7694,53.5999
HOUSEHOLD_2_156,0,burst,0.5452054794520548,1.1198804262958895,7.0,6.844356995109301,10.660795351273684,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.5703,9.3867,15.5105,89.2188,56.899
HOUSEHOLD_2_278,0,burst,0.547945205479452,0.8555105135225114,7.0,5.2286112250257855,9.06422766338195,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.2553,8.0909,13.6892,89.4427,54.1097
HOBBIES_1_107,0,burst,0.5643835616438356,0.773420024175077,7.0,4.726899969248728,8.677584900755576,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.847,7.7977,13.3419,90.7744,53.8747
HOBBIES_2_134,0,burst,0.5643835616438356,0.790981075163941,7.0,4.834227590443658,8.784912521950506,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.9343,7.885,13.4654,90.7744,54.0675
HOBBIES_1_120,0,burst,0.6,0.7837638128197273,7.0,4.790117952618712,8.990117952618712,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.8985,8.0985,13.9132,93.5949,55.3985
HOBBIES_1_302,0,burst,0.6109589041095891,0.893745305656712,7.0,5.462290250799849,9.739002579566971,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.4455,8.7222,14.8403,94.4458,57.0308
HOUSEHOLD_2_502,0,burst,0.6109589041095891,0.932850064486239,7.0,5.701286239436067,9.97799856820319,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.64,8.9167,15.1154,94.4458,57.46
FOODS_3_321,4,burst,0.6136986301369863,1.2027115733653313,7.0,7.350594917967566,11.64648532892647,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.9823,10.2782,17.052,94.6573,60.5272
HOUSEHOLD_2_018,0,burst,0.6164383561643836,0.8585404332050066,7.0,5.247129141301988,9.562197634452673,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.2704,8.5855,14.6694,94.8683,56.8558
HOUSEHOLD_1_261,0,burst,0.6328767123287671,0.9590595775132683,7.0,5.861470540913945,10.291607527215316,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.7704,9.2005,15.6066,96.1249,58.5872
HOUSEHOLD_2_445,4,burst,0.6383561643835617,1.1366315833703164,7.0,6.946734799387698,11.41522795007263,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.6536,10.1221,16.9324,96.5401,60.7435
FOODS_2_280,0,burst,0.6438356164383562,0.8543660173398342,7.0,5.221616424268626,9.728465739337118,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.2496,8.7565,15.0236,96.9536,57.8526
HOUSEHOLD_2_306,0,burst,0.6520547945205479,1.175307954622148,7.0,7.183112617864699,11.747496179508534,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.846,10.4104,17.3963,97.5705,61.6831
HOUSEHOLD_2_147,0,burst,0.6575342465753424,0.8323668438240291,7.0,5.087164393851818,9.689904119879216,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.1402,8.7429,15.0606,97.9796,58.1242
HOUSEHOLD_2_094,0,burst,0.6794520547945205,0.9010004976321635,7.0,5.506631702603135,10.26279608616478,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.4816,9.2378,15.8503,99.5992,59.6872
HOUSEHOLD_2_026,0,burst,0.6876712328767123,0.8901082175039037,7.0,5.440061511770237,10.253760141907222,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.4274,9.2411,15.8887,100.1998,59.868
HOUSEHOLD_2_429,0,burst,0.7013698630136986,0.9470157219712345,7.0,5.78786228328964,10.697451324385531,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.7105,9.6201,16.4808,101.1929,60.989
HOBBIES_1_217,0,burst,0.7178082191780822,0.9663774070151883,7.0,5.906194813581294,10.93085234782787,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.8068,9.8314,16.8471,102.3719,61.791
HOBBIES_2_079,0,burst,0.7178082191780822,0.9375181266750756,7.0,5.7298159675619935,10.754473501808569,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.6632,9.6879,16.6441,102.3719,61.4743
HOUSEHOLD_2_428,0,burst,0.7178082191780822,0.9491671400877544,7.0,5.8010110742582555,10.82566860850483,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.7212,9.7458,16.7261,102.3719,61.6021
HOUSEHOLD_2_042,0,burst,0.7205479452054795,1.0075210171654474,7.0,6.157651620329313,11.201487236767669,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.0114,10.0553,17.1749,102.5671,62.3401
HOBBIES_1_311,4,burst,0.7232876712328767,1.5768344059986228,7.0,9.63711602007603,14.700129718706169,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.8432,12.9062,21.218,102.7619,68.6851
HOUSEHOLD_2_134,0,burst,0.7232876712328767,0.9214358939060011,7.0,5.631526418280321,10.694540116910458,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.5832,9.6462,16.6077,102.7619,61.4928
HOUSEHOLD_2_211,0,burst,0.7232876712328767,0.9154534917675172,7.0,5.594963857704527,10.657977556334664,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.5535,9.6165,16.5656,102.7619,61.4271
HOUSEHOLD_2_083,0,burst,0.726027397260274,1.1442675325554412,7.0,6.993403319519238,12.075595100341157,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.6916,10.7738,18.2135,102.9563,64.0354
HOBBIES_2_143,0,burst,0.7287671232876712,1.6173407365972101,7.0,9.884677974610453,14.986047837624152,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,8.0447,13.146,21.5796,103.1504,69.3239
HOBBIES_1_192,0,burst,0.736986301369863,0.9416356545160062,7.0,5.754981002880849,10.91388511246989,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.6837,9.8426,16.9416,103.7304,62.1987
HOUSEHOLD_2_456,0,burst,0.7397260273972602,1.0770762885358736,7.0,6.582751565798957,11.760833757579778,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.3574,10.5355,17.9327,103.923,63.7814
HOBBIES_2_034,0,burst,0.7452054794520548,1.0368275122120292,7.0,6.3367637019983,11.553202058162682,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.1572,10.3736,17.7262,104.3072,63.5318
HOBBIES_2_080,0,burst,0.7452054794520548,0.8601432758063887,7.0,5.256925211233414,10.473363567397797,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.2784,9.4948,16.4834,104.3072,61.5928
FOODS_2_261,0,burst,0.7479452054794521,1.0675160637853938,7.0,6.5243224785416745,11.75993891689784,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.3098,10.5455,17.9805,104.4988,63.9643
HOBBIES_2_055,0,burst,0.7589041095890411,1.070051300048655,7.0,6.539817045323327,11.852145812446615,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.3224,10.6348,18.1517,105.2616,64.3735
HOUSEHOLD_2_141,0,burst,0.7643835616438356,0.9517724735919197,7.0,5.816934053332734,11.167618984839581,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.7341,10.0848,17.3964,105.6409,63.2652
HOUSEHOLD_2_106,0,burst,0.7780821917808219,0.9243718650382562,7.0,5.649470150561591,11.096045493027344,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.5978,10.0444,17.3955,106.5833,63.4357
FOODS_1_079,0,burst,0.7972602739726027,1.6383096188895705,7.0,10.012833189066733,15.593655106874952,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,8.149,13.7298,22.686,107.8888,71.9232
FOODS_3_724,4,burst,0.8,1.5212776585113272,7.0,9.29757065044411,14.89757065044411,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.5669,13.1669,21.9011,108.074,70.7315
HOUSEHOLD_2_210,0,burst,0.8027397260273973,1.2177682481684204,7.0,7.442616579469829,13.06179466166161,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.0572,11.6764,19.8045,108.2589,67.4933
FOODS_1_107,0,burst,0.8356164383561644,1.3649225980362896,7.0,8.341977690021823,14.191292758514972,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.7891,12.6385,21.2999,110.4536,70.2055
HOBBIES_1_251,0,burst,0.852054794520548,0.9777903982568948,7.0,5.975947426990804,11.94033098863464,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.8635,10.8279,18.8069,111.5347,66.4977
FOODS_2_235,4,burst,0.8684931506849315,2.141740890455385,7.0,13.08964680611968,19.1690988609142,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,10.653,16.7325,27.2246,112.6055,79.8062
HOBBIES_2_042,0,burst,0.8712328767123287,1.2302817791298906,7.0,7.519095345558224,13.617725482544525,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.1194,12.2181,20.8515,112.783,69.8926
HOBBIES_2_001,0,burst,0.8767123287671232,0.9964939290002702,7.0,6.090257525168054,12.227243826537917,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.9566,11.0936,19.2836,113.1371,67.5041
HOUSEHOLD_2_034,0,burst,0.8931506849315068,1.0929756699688038,7.0,6.679923585215639,12.931978379736186,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.4365,11.6885,20.1924,114.1928,69.0907
HOUSEHOLD_2_004,0,burst,0.9068493150684932,1.1079543529003324,7.0,6.771468584925139,13.119413790404591,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.511,11.8589,20.4896,115.0652,69.6913
HOUSEHOLD_2_149,0,burst,0.9123287671232877,1.1497664843516324,7.0,7.027011183634264,13.413312553497278,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.719,12.1053,20.8604,115.4123,70.3237
FOODS_3_092,4,burst,0.915068493150685,4.109880590792166,7.0,25.11829773085083,31.523777182905626,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,20.4426,26.8481,41.7212,115.5855,102.8946
HOBBIES_1_184,0,burst,0.9232876712328767,1.340259994863347,7.0,8.191247615113149,14.654261313743286,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.6665,13.1295,22.3538,116.1034,72.7597
HOUSEHOLD_2_304,0,burst,0.9315068493150684,1.1921073676118679,7.0,7.28578534712226,13.80633329232774,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.9296,12.4501,21.4268,116.619,71.3917
HOBBIES_2_066,0,burst,0.9424657534246575,1.1880723384453054,7.0,7.261124517757666,13.85838479173027,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.9095,12.5067,21.5518,117.303,71.6894
HOBBIES_2_056,0,burst,0.9534246575342465,1.1096581732579827,7.0,6.7818817991482545,13.45585440188798,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.5195,12.1934,21.1536,117.983,71.1689
HOUSEHOLD_2_010,4,burst,0.958904109589041,1.3611399973654912,7.0,8.318859624241787,15.031188391365074,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.7703,13.4827,22.9993,118.3216,74.098
HOUSEHOLD_2_446,0,burst,0.958904109589041,1.2002558811937571,7.0,7.335586499659962,14.04791526678325,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.9701,12.6824,21.8676,118.3216,72.3324
HOUSEHOLD_2_006,0,burst,0.9616438356164384,1.0785916408648322,7.0,6.592012922698521,13.32351977201359,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.3649,12.0964,21.0502,118.4905,71.0817
FOODS_3_496,4,burst,0.9643835616438357,4.6935005874681845,7.0,28.685199618713426,35.43588455022028,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,23.3455,30.0962,46.5169,118.6592,110.8361
FOODS_3_548,0,burst,0.9643835616438357,1.0976210367829031,7.0,6.708314606348219,13.45899953785507,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.4596,12.2103,21.2224,118.6592,71.3749
HOBBIES_2_049,0,burst,0.9643835616438357,1.07995851861395,7.0,6.600366849657114,13.351051781163964,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.3717,12.1224,21.0981,118.6592,71.1811
HOUSEHOLD_2_192,0,burst,0.9643835616438357,1.1100650737055482,7.0,6.784368646725205,13.535053578232056,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.5215,12.2722,21.3099,118.6592,71.5115
HOUSEHOLD_2_162,4,burst,0.9808219178082191,1.734322043038382,7.0,10.599630932298913,17.46538435695645,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,8.6265,15.4923,25.9313,119.6662,78.8656
FOODS_1_164,0,burst,0.9863013698630136,1.3060841427900287,7.0,7.982375554570472,14.886485143611567,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.4965,13.4006,22.9956,120.0,74.333
HOBBIES_2_093,0,burst,0.989041095890411,1.3586881241242057,7.0,8.303874546035159,15.227162217268036,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.7581,13.6814,23.404,120.1666,74.9935
HOBBIES_2_013,0,burst,1.0,1.0944415004020076,7.0,6.688882279861572,13.688882279861572,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.4438,12.4438,21.6986,120.8305,72.4256
HOUSEHOLD_2_253,0,burst,1.0027397260273974,1.0095658683369366,7.0,6.170149107642162,13.189327189833943,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.0216,12.0408,21.14,120.9959,71.5769
HOUSEHOLD_2_274,0,burst,1.0164383561643835,1.1482205174819502,7.0,7.017562720289194,14.132631213439879,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.7113,12.8263,22.3071,121.8195,73.5104
FOODS_1_211,0,burst,1.0191780821917809,1.1962231698331895,7.0,7.310939835996723,14.44518641133919,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.95,13.0843,22.6831,121.9836,74.1192
HOBBIES_2_113,0,burst,1.0246575342465754,1.4188469260029315,7.0,8.671546224892827,15.844148964618855,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.0574,14.23,24.3258,122.3111,76.726
HOUSEHOLD_2_494,0,burst,1.0356164383561643,1.200431454374684,7.0,7.336659547729033,14.585974616222183,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.971,13.2203,22.9428,122.9634,74.6553
HOUSEHOLD_1_501,0,burst,1.0438356164383562,1.1522775227293651,7.0,7.042357860549109,14.349207175617604,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.7314,13.0383,22.7192,123.4504,74.3703
HOBBIES_2_102,0,burst,1.0712328767123287,1.2471373211548327,7.0,7.622111117828084,15.120741254814384,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.2033,13.7019,23.77,125.06,76.2161
HOUSEHOLD_2_393,0,burst,1.0794520547945206,1.2433293332015192,7.0,7.59883789296089,15.155002276522534,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.1843,13.7405,23.8583,125.5388,76.4137
HOBBIES_2_112,0,burst,1.084931506849315,1.338737230254473,7.0,8.181940956689694,15.776461504634899,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.6589,14.2534,24.6061,125.8571,77.6198
HOUSEHOLD_2_503,0,burst,1.0876712328767124,1.1304896835364178,7.0,6.909197439054999,14.522896069191987,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.6231,13.2368,23.1796,126.0159,75.4139
HOUSEHOLD_2_254,0,burst,1.095890410958904,1.2288248603473986,7.0,7.51019111611898,15.18142399283131,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.1122,13.7834,23.9864,126.4911,76.7307
HOUSEHOLD_2_292,0,burst,1.1013698630136985,1.329348881216053,7.0,8.124562319734519,15.834151360830408,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.6122,14.3218,24.7702,126.8069,77.9918
HOUSEHOLD_2_415,0,burst,1.1095890410958904,1.1382660303828438,7.0,6.956724025541357,14.72384731321259,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.6617,13.4289,23.5412,127.2792,76.131
FOODS_3_165,0,burst,1.1178082191780823,1.2709067527195237,7.0,7.767382408744083,15.59203994299066,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.3215,14.1462,24.5893,127.7498,77.8218
HOBBIES_2_068,0,burst,1.1315068493150684,1.240001408224206,7.0,7.578498662036913,15.499046607242391,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.1678,14.0883,24.5637,128.5302,77.8729
HOUSEHOLD_2_243,0,burst,1.1315068493150684,1.140762795735502,7.0,6.971983470215407,14.892531415420887,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.6742,13.5947,23.8656,128.5302,76.7838
HOUSEHOLD_2_208,0,burst,1.1369863013698631,1.4094955501369233,7.0,8.614393556340428,16.57329766592947,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.0108,14.9698,25.8326,128.841,79.8883
HOUSEHOLD_2_107,0,burst,1.1424657534246576,1.0901554743714168,7.0,6.662687436595382,14.659947710567986,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.4224,13.4197,23.663,129.1511,76.5389
HOBBIES_1_259,0,burst,1.1479452054794521,1.104450237294394,7.0,6.750052532285926,14.78566897064209,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.4935,13.5292,23.8403,129.4604,76.8505
FOODS_1_010,0,burst,1.1506849315068493,1.7310293012158755,7.0,10.579506729753017,18.634301250300965,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,8.6102,16.665,28.2862,129.6148,83.8037
HOUSEHOLD_2_504,0,burst,1.1561643835616437,1.553177025970543,7.0,9.49252955291479,17.585680237846297,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.7255,15.8187,27.1118,129.9231,82.0061
HOUSEHOLD_2_092,0,burst,1.1643835616438356,1.11697317928656,7.0,6.826588815634434,14.977273747141282,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.5558,13.7065,24.1585,130.384,77.4497
HOBBIES_2_008,0,burst,1.1753424657534246,1.1029158185123098,7.0,6.740674647220714,14.968071907494686,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.4859,13.7133,24.2131,130.9962,77.6015
HOUSEHOLD_2_351,0,burst,1.178082191780822,1.3128953172683164,7.0,8.024003311061914,16.270578653527668,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.5304,14.7769,25.7285,131.1488,79.9821
FOODS_2_084,4,burst,1.180821917808219,1.5829324517398233,7.0,9.674385357985019,17.940138782642553,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.8735,16.1393,27.6664,131.3012,83.0217
HOUSEHOLD_2_144,0,burst,1.180821917808219,1.3301922456950754,7.0,8.12971669821626,16.395470122873796,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.6164,14.8821,25.8885,131.3012,80.2481
HOUSEHOLD_2_441,0,burst,1.180821917808219,1.1555714934357662,7.0,7.062489573646919,15.328242998304454,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,5.7478,14.0136,24.6602,131.3012,78.3318
HOBBIES_2_057,0,burst,1.1835616438356165,2.0493240441875495,7.0,12.52482410418947,20.809755611038785,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,10.1934,18.4783,30.9855,131.4534,88.216
HOBBIES_1_257,0,burst,1.2054794520547945,1.3004532611091315,7.0,7.947961376488302,16.386317540871865,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.4685,14.9068,26.0245,132.665,80.6037
HOBBIES_2_039,0,burst,1.2054794520547945,1.4118698546704562,7.0,8.628904558998414,17.067260723381978,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.0227,15.461,26.8083,132.665,81.8264
HOUSEHOLD_2_122,4,burst,1.210958904109589,1.819277241756309,7.0,11.118850390879139,19.59556271964626,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,9.0491,17.5258,29.7508,132.9662,86.4479
HOUSEHOLD_2_227,0,burst,1.2164383561643837,1.330022483763328,7.0,8.1286791666747,16.643747659825387,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.6155,15.1306,26.3859,133.2666,81.229
FOODS_3_402,0,burst,1.2273972602739727,1.4297909892950713,7.0,8.738432898139035,17.330213720056843,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.1118,15.7036,27.2412,133.8656,82.6233
HOUSEHOLD_2_125,0,burst,1.2301369863013698,1.6580377760767309,7.0,10.133405481852643,18.744364385962232,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,8.2471,16.8581,28.8851,134.0149,85.2028
HOUSEHOLD_2_105,0,burst,1.2356164383561643,1.228928983254477,7.0,7.5108274825833625,16.16014255107651,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.1127,14.762,25.9433,134.3131,80.6428
HOUSEHOLD_2_116,4,burst,1.2356164383561643,1.882347863400895,7.0,11.504318196461588,20.15363326495474,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,9.3628,18.0121,30.5397,134.3131,87.8134
HOUSEHOLD_2_516,0,burst,1.2356164383561643,1.2984955224054717,7.0,7.935996293184444,16.585311361677594,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.4587,15.108,26.4327,134.3131,81.4062
HOUSEHOLD_1_406,4,burst,1.2383561643835617,2.026109120827838,7.0,12.382941793045308,21.05143494373024,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,10.0779,18.7464,31.5893,134.4619,89.4655
HOUSEHOLD_2_168,0,burst,1.2383561643835617,1.4086302029356799,7.0,8.60910482637341,17.277597977058342,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,7.0065,15.675,27.2457,134.4619,82.6893
FOODS_3_256,0,burst,1.2410958904109588,1.2587971338926112,7.0,7.693372226603274,16.381043459479987,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,6.2613,14.9489,26.2301,134.6105,81.1193
